date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
10/3/2017 0:00,1JANATAMF,6.9,7,6.9,7,6.9,7,98,12.727,1844361
,,,,,,,,,,
10/2/2017 0:00,1JANATAMF,6.9,7,6.9,7,7,7,89,3.041,436075
,,,,,,,,,,
9/28/2017 0:00,1JANATAMF,7.1,7.1,6.9,6.9,7,7,112,8.953,1278824
,,,,,,,,,,
9/27/2017 0:00,1JANATAMF,7,7,6.9,6.9,7,7,110,5.607,803191
,,,,,,,,,,
9/26/2017 0:00,1JANATAMF,6.9,7,6.9,6.9,7,7,91,4.093,586834
,,,,,,,,,,
9/25/2017 0:00,1JANATAMF,6.9,7,6.8,7,7,7,121,9.141,1319938
,,,,,,,,,,
9/24/2017 0:00,1JANATAMF,6.9,7.1,6.9,7,7,7,110,4.713,669127
,,,,,,,,,,
9/21/2017 0:00,1JANATAMF,7,7,6.9,6.9,7,7,141,7.304,1045925
,,,,,,,,,,
9/20/2017 0:00,1JANATAMF,6.9,7,6.9,7,7,6.9,98,3.102,444955
,,,,,,,,,,
9/19/2017 0:00,1JANATAMF,6.9,7.1,6.9,7,6.9,7,159,8.807,1265726
,,,,,,,,,,
9/18/2017 0:00,1JANATAMF,7,7.1,6.9,7,7,7,127,4.34,620133
,,,,,,,,,,
9/17/2017 0:00,1JANATAMF,7.1,7.1,6.9,7,7,7,145,5.585,797859
,,,,,,,,,,
9/14/2017 0:00,1JANATAMF,7,7.1,6.9,6.9,7,6.9,110,3.472,496348
,,,,,,,,,,
9/13/2017 0:00,1JANATAMF,6.9,7,6.9,6.9,6.9,6.9,91,3.244,468118
,,,,,,,,,,
9/12/2017 0:00,1JANATAMF,6.9,7,6.9,7,6.9,7,129,6.055,869706
,,,,,,,,,,
9/11/2017 0:00,1JANATAMF,6.9,7.1,6.8,7,7,7,137,6.83,984178
,,,,,,,,,,
9/10/2017 0:00,1JANATAMF,7,7.1,6.8,7,7,7,174,6.258,902837
,,,,,,,,,,
9/7/2017 0:00,1JANATAMF,7.1,7.1,6.9,7.1,7,7.1,131,5.204,740274
,,,,,,,,,,
9/6/2017 0:00,1JANATAMF,7.1,7.3,6.7,7.3,7.1,7.5,238,10.561,1518048
,,,,,,,,,,
9/5/2017 0:00,1JANATAMF,0,0,0,0,7.5,7.5,0,0,0
,,,,,,,,,,
9/4/2017 0:00,1JANATAMF,7.5,7.5,7.4,7.4,7.5,7.5,72,1.906,255905
,,,,,,,,,,
8/31/2017 0:00,1JANATAMF,7.6,7.6,7.2,7.3,7.5,7.3,166,5.768,778830
,,,,,,,,,,
8/30/2017 0:00,1JANATAMF,7.3,7.3,7.2,7.3,7.3,7.2,73,2.934,403199
,,,,,,,,,,
8/29/2017 0:00,1JANATAMF,7.3,7.4,7.2,7.3,7.2,7.3,122,2.501,341550
,,,,,,,,,,
8/28/2017 0:00,1JANATAMF,7.2,7.4,7.2,7.3,7.3,7.3,148,3.163,432497
,,,,,,,,,,
8/27/2017 0:00,1JANATAMF,7.4,7.4,7.3,7.4,7.3,7.4,75,2.517,342425
,,,,,,,,,,
8/24/2017 0:00,1JANATAMF,7.3,7.5,7.3,7.4,7.4,7.4,84,3.228,435462
,,,,,,,,,,
8/23/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.3,7.4,7.4,96,5.728,777740
,,,,,,,,,,
8/22/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.3,7.4,7.4,93,6.038,817536
,,,,,,,,,,
8/21/2017 0:00,1JANATAMF,7.4,7.4,7.2,7.2,7.4,7.2,176,11.538,1578143
,,,,,,,,,,
8/20/2017 0:00,1JANATAMF,7.2,7.4,7.1,7.4,7.2,7.4,150,6.691,923720
,,,,,,,,,,
8/17/2017 0:00,1JANATAMF,7.3,7.4,7.3,7.4,7.4,7.4,77,4.672,634189
,,,,,,,,,,
8/16/2017 0:00,1JANATAMF,7.4,7.4,7.3,7.4,7.4,7.4,123,7.172,974808
,,,,,,,,,,
8/13/2017 0:00,1JANATAMF,7.4,7.6,7.3,7.5,7.4,7.5,188,6.518,878679
,,,,,,,,,,
8/10/2017 0:00,1JANATAMF,7.5,7.7,7.3,7.5,7.5,7.5,235,19.68,2621550
,,,,,,,,,,
8/9/2017 0:00,1JANATAMF,7.6,7.7,7.4,7.7,7.5,7.6,173,3.698,490665
,,,,,,,,,,
8/8/2017 0:00,1JANATAMF,7.7,7.9,7.6,7.8,7.6,7.9,190,6.294,821376
,,,,,,,,,,
